"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"NY","1 wk ahead cum case",327035,312977,-14058,288045,-0.563853682015081,"2020-04-26","2020-05-02"
"NY","1 wk ahead cum death",24889,24198,-691,22269,-0.358216692586833,"2020-04-26","2020-05-02"
"NY","2 wk ahead cum case",368313,333122,-35191,288045,-0.780686381081261,"2020-04-26","2020-05-09"
"NY","2 wk ahead cum death",27776,26612,-1164,22269,-0.268017499424361,"2020-04-26","2020-05-09"
"NY","3 wk ahead cum case",405205,348232,-56973,288045,-0.946599764068653,"2020-04-26","2020-05-16"
"NY","3 wk ahead cum death",30345,28049,-2296,22269,-0.397231833910035,"2020-04-26","2020-05-16"
"NY","4 wk ahead cum case",438365,359926,-78439,288045,-1.09123412306451,"2020-04-26","2020-05-23"
"NY","4 wk ahead cum death",32526,29031,-3495,22269,-0.516858917480036,"2020-04-26","2020-05-23"
"NC","1 wk ahead cum case",11032,11588,556,8997,0.214588961790814,"2020-04-26","2020-05-02"
"NC","1 wk ahead cum death",429,431,2,324,0.0186915887850467,"2020-04-26","2020-05-02"
"NC","2 wk ahead cum case",13507,14478,971,8997,0.177157453019522,"2020-04-26","2020-05-09"
"NC","2 wk ahead cum death",570,551,-19,324,-0.0837004405286344,"2020-04-26","2020-05-09"
"NC","3 wk ahead cum case",16614,18130,1516,8997,0.165991459542319,"2020-04-26","2020-05-16"
"NC","3 wk ahead cum death",723,676,-47,324,-0.133522727272727,"2020-04-26","2020-05-16"
"NC","4 wk ahead cum case",20824,22864,2040,8997,0.147111848272878,"2020-04-26","2020-05-23"
"NC","4 wk ahead cum death",894,778,-116,324,-0.255506607929515,"2020-04-26","2020-05-23"
"ND","1 wk ahead cum case",1188,1153,-35,867,-0.122377622377622,"2020-04-26","2020-05-02"
"ND","1 wk ahead cum death",24,24,0,17,0,"2020-04-26","2020-05-02"
